Title,ISBN,Author,Published Year,Publisher,Status
The Firekeeper's Oath,978-0345537070,Jeaniene Frost,2021,Avon,Borrowed
The Twilight Rebellion,978-1101988952,Katherine Arden,2018,Del Rey,Available
Empire of Ash,978-0358312008,Sabaa Tahir,2022,Penguin,Borrowed
Legacy of the Fallen,978-0345546539,David Gemmell,2020,Orbit,Available
The Obsidian Tower,978-0358381738,Melissa Caruso,2019,DAW Books,Borrowed
A Curse of Shadows,978-1524796391,Karen Marie Moning,2021,Del Rey,Available
The Forbidden Manuscript,978-0062315028,Laurie Forest,2018,HarperTeen,Borrowed
The Crimson Pact,978-0062289220,Brandon Mull,2019,Aladdin,Available
The Shadowed Path,978-0345544979,Karen Chance,2015,Signet,Borrowed
The Cursed Talisman,978-1101990634,Rae Carson,2021,Greenwillow,Available
Darkness and Light,978-1524796308,Lauren Kate,2019,Delacorte,Borrowed
The Midnight Pact,978-0316226242,Kiersten White,2020,HarperTeen,Available
The Ashen Crown,978-0062876329,Jenn Lyons,2022,Tor Books,Borrowed
Eclipse Rising,978-0525952931,Cassandra Clare,2020,McElderry,Available
